cod_cliente,nome_cliente,cnpj_cliente,empresa,filial,regiao,descricao_regiao
55601,ULTRACARGO VILA DO CONDE LOGISTICA PORTUARIA S.A,34.130.063/0001-84,1,4,4,PAULISTA
55891,TOP ARABE RESTAURANTE,11.928.186/0007-55,33,6,4,PAULISTA
54433,EATON LTDA,54.625.819/0001-73,2,4,4,PAULISTA
50629,BANCO MERCEDES BENZ DO BRASIL S A,60.814.191/0001-57,1,4,4,PAULISTA
57328,REDE D'OR SAO LUIZ S.A.,06.047.087/0150-80,1,4,4,PAULISTA
56962,RAIA DROGASIL S/A,61.585.865/0985-34,1,4,4,PAULISTA
51936,ULTRACARGO LOGISTICA SA,14.688.220/0016-40,1,4,4,PAULISTA
51218,IND E COM DE PROD ALIM CEPERA LTDA,62.162.243/0003-45,2,10,6,MONTE ALTO
57268,SUPERA FARMA LABORATORIOS S.A,43.312.503/0007-09,2,4,4,PAULISTA
10002,SOULAN CONS. E MAO DE OBRA TEMP. LTDA,59.749.705/0002-30,3,1,1,ITAQUA
55783,PUMA SPORTS LTDA.,05.406.034/0036-24,1,4,4,PAULISTA
54288,LIBBS FARMACEUTICA LTDA,61.230.314/0005-07,1,4,5,EMBU
57352,RAIA DROGASIL S/A,61.585.865/2671-58,1,4,4,PAULISTA
52053,DORMER PRAMET SOLUCOES PARA USINAGEM LTDA,60.875.580/0001-92,1,4,4,PAULISTA
57241,SONOVA DO BRASIL PRODUTOS AUDIOLOGICOS LTDA,92.792.530/0093-56,1,4,4,PAULISTA
56048,KANASTRA SOCIEDADE DE CREDITO S.A.,49.288.113/0001-23,40,0,34,UBERLANDIA
56974,RAIA DROGASIL S/A,61.585.865/2646-47,1,4,4,PAULISTA
56969,RAIA DROGASIL S/A,61.585.865/3257-00,1,4,4,PAULISTA
55039,IHS BRASIL CESSAO DE INFRAESTRUTURAS SA,15.811.119/0001-11,1,4,4,PAULISTA
56965,PROPARTS COMERCIO DE ARTIGOS ESPORTIVOS E TECNOLOGIA LTDA,68.365.501/0007-09,29,5,4,PAULISTA
51569,WURTH DO BRASIL PECAS DE FIXACAO LTDA,43.648.971/0050-33,1,4,4,PAULISTA
54792,CATENA DESENVOLVIMENTO EM INFORMATICA LTDA,31.981.793/0001-09,28,0,4,PAULISTA
55291,SUPERA RX MEDICAMENTOS LTDA.,15.759.157/0001-72,2,4,4,PAULISTA
54028,ADVANCE BIONICS INSTRUMENTOS AUDITIVOS DO BRASIL LTDA,13.059.106/0001-02,2,4,4,PAULISTA
54981,ALCOOL FERREIRA S A,61.154.480/0005-63,1,4,4,PAULISTA
56868,PUMA SPORTS LTDA.,05.406.034/0034-62,1,4,4,PAULISTA
53814,WURTH DO BRASIL PECAS DE FIXACAO LTDA,43.648.971/0001-55,1,4,5,EMBU
56047,KANASTRA SECURITIZADORA S.A.,48.238.484/0001-38,39,0,34,UBERLANDIA
50265,ENTEC DO BRASIL COMERCIO DE RESINAS LTDA,06.110.412/0001-60,1,4,4,PAULISTA
57290,BUNGE ALIMENTOS S/A,84.046.101/0370-03,1,4,4,PAULISTA
57338,AXCHEM BRASIL INDUSTRIA QUIMICA LTDA,12.344.954/0001-09,2,4,4,PAULISTA
56650,MAUSER DO BRASIL EMBALAGENS INDUSTRIAIS S.A.,08.246.617/0007-99,1,2,10,SUZANO
51832,ARCELORMITTAL BRASIL S.A,17.469.701/0082-32,1,4,4,PAULISTA
54935,WURTH DO BRASIL PECAS DE FIXACAO LTDA,43.648.971/0051-14,1,4,4,PAULISTA
55324,DANISCO BRASIL LTDA,46.278.016/0007-57,2,4,4,PAULISTA
